position,positionText,points,wins,constructorId,season,round
1,1,51,3,renault,2006,4
2,2,33,0,mclaren,2006,4
3,3,30,1,ferrari,2006,4
4,4,15,0,honda,2006,4
5,5,10,0,bmw_sauber,2006,4
6,6,8,0,williams,2006,4
7,7,7,0,toyota,2006,4
8,8,2,0,red_bull,2006,4
9,9,0,0,toro_rosso,2006,4
10,10,0,0,mf1,2006,4
11,11,0,0,super_aguri,2006,4
1,1,95,5,ferrari,1979,13
2,2,62,4,williams,1979,13
3,3,61,3,ligier,1979,13
4,4,39,0,team_lotus,1979,13
5,5,22,0,tyrrell,1979,13
6,6,20,1,renault,1979,13
7,7,13,0,mclaren,1979,13
8,8,7,0,brabham-alfa_romeo,1979,13
9,9,5,0,arrows,1979,13
10,10,1,0,fittipaldi,1979,13
11,11,0,0,shadow,1979,13
12,12,0,0,wolf,1979,13
13,13,0,0,ats,1979,13
14,14,0,0,ensign,1979,13
15,15,0,0,alfa,1979,13
16,16,0,0,merzario,1979,13
17,17,0,0,kauhsen,1979,13
18,18,0,0,rebaque,1979,13
1,1,18,2,matra-ford,1969,3
2,2,15,1,lotus-ford,1969,3
3,3,12,0,mclaren-ford,1969,3
4,4,7,0,brabham-ford,1969,3
5,5,2,0,brm,1969,3
6,6,0,0,cooper-maserati,1969,3
7,7,0,0,brabham-repco,1969,3
8,8,0,0,ferrari,1969,3
1,1,553,12,red_bull,2013,18
2,2,348,3,mercedes,2013,18
3,3,333,2,ferrari,2013,18
4,4,315,1,lotus_f1,2013,18
5,5,102,0,mclaren,2013,18
6,6,77,0,force_india,2013,18
7,7,53,0,sauber,2013,18
8,8,32,0,toro_rosso,2013,18
9,9,5,0,williams,2013,18
10,10,0,0,marussia,2013,18
11,11,0,0,caterham,2013,18
1,1,31,3,team_lotus,1973,4
2,2,27,1,tyrrell,1973,4
3,3,15,0,mclaren,1973,4
4,4,9,0,ferrari,1973,4
5,5,5,0,shadow,1973,4
6,6,3,0,brm,1973,4
7,7,1,0,brabham,1973,4
8,8,0,0,march,1973,4
9,9,0,0,iso_marlboro,1973,4
10,10,0,0,surtees,1973,4
1,1,114,2,ferrari,2018,4
2,2,110,1,mercedes,2018,4
3,3,55,1,red_bull,2018,4
4,4,36,0,mclaren,2018,4
5,5,35,0,renault,2018,4
6,6,16,0,force_india,2018,4
7,7,13,0,toro_rosso,2018,4
8,8,11,0,haas,2018,4
9,9,10,0,sauber,2018,4
10,10,4,0,williams,2018,4
1,1,765,19,mercedes,2016,21
2,2,468,2,red_bull,2016,21
3,3,398,0,ferrari,2016,21
4,4,173,0,force_india,2016,21
5,5,138,0,williams,2016,21
6,6,76,0,mclaren,2016,21
7,7,63,0,toro_rosso,2016,21
8,8,29,0,haas,2016,21
9,9,8,0,renault,2016,21
10,10,2,0,sauber,2016,21
11,11,1,0,manor,2016,21
1,1,255,5,red_bull,2011,7
2,2,186,2,mclaren,2011,7
3,3,101,0,ferrari,2011,7
4,4,60,0,renault,2011,7
5,5,52,0,mercedes,2011,7
6,6,27,0,sauber,2011,7
7,7,12,0,toro_rosso,2011,7
8,8,10,0,force_india,2011,7
9,9,4,0,williams,2011,7
10,10,0,0,lotus_racing,2011,7
11,11,0,0,hrt,2011,7
12,12,0,0,virgin,2011,7
1,1,8,1,cooper,1958,1
2,2,6,0,ferrari,1958,1
3,3,3,0,maserati,1958,1
1,1,30,1,williams,2002,3
2,2,24,2,ferrari,2002,3
3,3,8,0,mclaren,2002,3
4,4,6,0,renault,2002,3
5,5,3,0,jaguar,2002,3
6,6,3,0,sauber,2002,3
7,7,2,0,minardi,2002,3
8,8,2,0,toyota,2002,3
9,9,0,0,bar,2002,3
10,10,0,0,jordan,2002,3
11,11,0,0,arrows,2002,3
1,1,438,10,mercedes,2019,12
2,2,288,0,ferrari,2019,12
3,3,244,2,red_bull,2019,12
4,4,82,0,mclaren,2019,12
5,5,43,0,toro_rosso,2019,12
6,6,39,0,renault,2019,12
7,7,32,0,alfa,2019,12
8,8,31,0,racing_point,2019,12
9,9,26,0,haas,2019,12
10,10,1,0,williams,2019,12
1,1,36,1,brm,1964,7
2,2,34,3,lotus-climax,1964,7
3,3,28,2,ferrari,1964,7
4,4,21,1,brabham-climax,1964,7
5,5,10,0,cooper-climax,1964,7
6,6,3,0,brabham-brm,1964,7
7,7,3,0,lotus-brm,1964,7
8,8,2,0,brp,1964,7
9,9,0,0,honda,1964,7
10,10,0,0,scirocco,1964,7
11,11,0,0,porsche,1964,7
12,12,0,0,brabham-ford,1964,7
1,1,100,6,williams,1992,8
2,2,36,2,mclaren,1992,8
3,3,35,0,benetton,1992,8
4,4,13,0,ferrari,1992,8
5,5,6,0,team_lotus,1992,8
6,6,5,0,footwork,1992,8
7,7,4,0,tyrrell,1992,8
8,8,3,0,march,1992,8
9,9,3,0,ligier,1992,8
10,10,2,0,dallara,1992,8
11,11,1,0,larrousse,1992,8
12,12,0,0,minardi,1992,8
13,13,0,0,jordan,1992,8
14,14,0,0,brabham,1992,8
1,1,128,7,brawn,2009,12
2,2,104.5,3,red_bull,2009,12
3,3,56,1,ferrari,2009,12
4,4,44,1,mclaren,2009,12
5,5,38.5,0,toyota,2009,12
6,6,30.5,0,williams,2009,12
7,7,18,0,bmw_sauber,2009,12
8,8,16,0,renault,2009,12
9,9,8,0,force_india,2009,12
10,10,5,0,toro_rosso,2009,12
1,1,22,2,ferrari,1977,3
2,2,15,1,wolf,1977,3
3,3,9,0,mclaren,1977,3
4,4,7,0,brabham,1977,3
5,5,6,0,fittipaldi,1977,3
6,6,4,0,tyrrell,1977,3
7,7,4,0,team_lotus,1977,3
8,8,1,0,ensign,1977,3
9,9,1,0,shadow,1977,3
10,10,0,0,surtees,1977,3
11,11,0,0,march,1977,3
12,12,0,0,brm,1977,3
13,13,0,0,ligier,1977,3
1,1,154,4,mercedes,2014,4
2,2,57,0,red_bull,2014,4
3,3,54,0,force_india,2014,4
4,4,52,0,ferrari,2014,4
5,5,43,0,mclaren,2014,4
6,6,36,0,williams,2014,4
7,7,8,0,toro_rosso,2014,4
8,8,0,0,lotus_f1,2014,4
9,9,0,0,sauber,2014,4
10,10,0,0,marussia,2014,4
11,11,0,0,caterham,2014,4
1,1,33,3,ferrari,1961,4
2,2,17,1,lotus-climax,1961,4
3,3,9,0,porsche,1961,4
4,4,6,0,cooper-climax,1961,4
5,5,1,0,brm,1961,4
6,6,0,0,cooper-maserati,1961,4
7,7,0,0,emeryson,1961,4
8,8,0,0,de_tomaso-osca,1961,4
9,9,0,0,jbw,1961,4
1,1,38,4,lotus-ford,1968,7
2,2,25,1,ferrari,1968,7
3,3,22,1,mclaren-ford,1968,7
4,4,20,1,matra-ford,1968,7
